STATION,DATE,TMAX,TMIN
USW00094728,1/1/13,40,26
USW00094728,1/2/13,33,22
USW00094728,1/3/13,32,24
USW00094728,1/4/13,37,30
USW00094728,1/5/13,42,32
USW00094728,1/6/13,46,34
USW00094728,1/7/13,45,37
USW00094728,1/8/13,48,35
USW00094728,1/9/13,49,39
USW00094728,1/10/13,47,40
USW00094728,1/11/13,46,37
USW00094728,1/12/13,47,42
USW00094728,1/13/13,50,43
USW00094728,1/14/13,56,38
USW00094728,1/15/13,38,35
USW00094728,1/16/13,37,32
USW00094728,1/17/13,43,35
USW00094728,1/18/13,35,25
USW00094728,1/19/13,51,30
USW00094728,1/20/13,53,30
USW00094728,1/21/13,32,26
USW00094728,1/22/13,27,13
USW00094728,1/23/13,20,11
USW00094728,1/24/13,22,12
USW00094728,1/25/13,24,13
USW00094728,1/26/13,27,15
USW00094728,1/27/13,34,19
USW00094728,1/28/13,36,29
USW00094728,1/29/13,49,36
USW00094728,1/30/13,59,39
USW00094728,1/31/13,61,30
USW00094728,2/1/13,31,24
USW00094728,2/2/13,29,19
USW00094728,2/3/13,30,24
USW00094728,2/4/13,30,23
USW00094728,2/5/13,32,28
USW00094728,2/6/13,39,29
USW00094728,2/7/13,32,26
USW00094728,2/8/13,34,27
USW00094728,2/9/13,32,21
USW00094728,2/10/13,36,18
USW00094728,2/11/13,45,34
USW00094728,2/12/13,44,36
USW00094728,2/13/13,44,33
USW00094728,2/14/13,46,33
USW00094728,2/15/13,55,37
USW00094728,2/16/13,41,31
USW00094728,2/17/13,32,18
USW00094728,2/18/13,35,17
USW00094728,2/19/13,49,33
USW00094728,2/20/13,38,25
USW00094728,2/21/13,34,24
USW00094728,2/22/13,38,25
USW00094728,2/23/13,42,36
USW00094728,2/24/13,47,34
USW00094728,2/25/13,45,32
USW00094728,2/26/13,44,35
USW00094728,2/27/13,47,36
USW00094728,2/28/13,51,39
USW00094728,3/1/13,45,36
USW00094728,3/2/13,40,31
USW00094728,3/3/13,40,29
USW00094728,3/4/13,42,27
USW00094728,3/5/13,49,31
USW00094728,3/6/13,42,38
USW00094728,3/7/13,38,33
USW00094728,3/8/13,42,31
USW00094728,3/9/13,55,35
USW00094728,3/10/13,50,36
USW00094728,3/11/13,54,40
USW00094728,3/12/13,57,43
USW00094728,3/13/13,52,38
USW00094728,3/14/13,41,29
USW00094728,3/15/13,47,30
USW00094728,3/16/13,41,32
USW00094728,3/17/13,38,29
USW00094728,3/18/13,35,28
USW00094728,3/19/13,43,33
USW00094728,3/20/13,45,32
USW00094728,3/21/13,40,30
USW00094728,3/22/13,41,28
USW00094728,3/23/13,46,32
USW00094728,3/24/13,47,33
USW00094728,3/25/13,40,36
USW00094728,3/26/13,53,37
USW00094728,3/27/13,53,36
USW00094728,3/28/13,51,37
USW00094728,3/29/13,55,40
USW00094728,3/30/13,59,40
USW00094728,3/31/13,54,44
USW00094728,4/1/13,62,37
USW00094728,4/2/13,43,33
USW00094728,4/3/13,46,33
USW00094728,4/4/13,53,33
USW00094728,4/5/13,64,41
USW00094728,4/6/13,52,35
USW00094728,4/7/13,55,40
USW00094728,4/8/13,73,51
USW00094728,4/9/13,82,51
